ID_PROG;lat;long;CLC_1;CLC_2
1;48.718032;2.356079;124;211
2;48.375566;2.444853;211;NA
3;50.654057;2.50408;311;NA
4;43.9301;1.2774;313;311
6;49.327061;-0.740562;231;211
7;48.509463;0.810708;231;311
8;47.484315;-0.371406;243;231
9;47.071111;3.429444;311;211
10;47.77022222;1.63672222;243;211
11;45.584491;1.402827;322;231
12;47.625994;7.561572;211;511
13;47.685699;7.514986;311;511
14;48.98901111;6.50604167;211;512
15;49.773428;4.334444;112;231
16;46.71866944;1.19403056;512;231
17;44.541004;6.332712;242;NA
18;45.684822;4.204974;511;512
19;51.03694444;2.30527778;121;NA
20;50.538306;1.615833;311;421
21;48.669256;1.917635;231;211
22;47.631086;6.184238;313;243
24;48.76168333;7.97575;311;511
25;43.536354;4.751378;213;421
27;47.386797;-2.29059;512;411
28;48.615;2.679;124;211
29;44.883988;1.600654;222;231
31;43.502289;4.801253;421;521
32;46.05366389;-1.06198611;411;231
34;44.739225;4.958661;311;324
35;48.68719722;7.90633333;211;122
36;46.927096;5.326584;324;231
37;46.382118;2.287773;243;231
38;48.537962;2.463681;142;NA
39;48.43829167;7.73214722;311;512
40;46.8306;1.6927;231;112
41;44.74613889;6.12146111;231;311
42;50.780896;2.280625;242;411
43;50.785522;2.282513;243;112
44;50.393889;3.2425;411;243
45;50.88115;1.88715;411;NA
46;48.14245;7.588751;243;511
47;45.902255;-1.070522;231;211
48;43.53333333;3.83777778;411;NA
49;48.085546;-0.160212;324;311
50;47.680948;-0.146312;311;231
51;49.451532;0.268375;421;NA
52;49.447032;0.362868;421;NA
53;49.448888;0.323462;421;NA
54;49.458063;0.420281;421;522
55;44.214696;3.277295;321;312
56;48.465918;-5.068327;243;322
57;46.996459;-2.223635;421;142
58;49.151899;-0.019755;231;NA
59;47.398921;0.854421;324;511
60;48.866;1.895;311;324
61;45.76296667;3.83329722;312;NA
62;49.371613;-1.732097;231;211
63;48.093334;-2.83262;311;512
64;48.785;2.005;512;142
65;48.7923;1.996735;512;142
66;44.69102;-1.05293;421;NA
67;43.7775923;5.1454955;323;NA
68;46.140659;5.902717;112;231
69;48.7187778;1.9603727;311;NA
70;45.815889;5.962139;411;242
71;45.57395556;4.01042222;242;313
72;47.033719;4.769206;322;NA
73;47.180583;0.047593;112;243
74;47.213358;-1.412627;411;242
75;47.25732;-1.909045;411;231
76;48.385387;4.517233;311;NA
77;43.5366;4.755;421;213
78;50.87603056;1.64511667;322;211
79;47.232446;4.368493;231;211
82;50.648056;2.512222;311;NA
83;47.350564;6.054853;231;211
84;46.629951;5.714796;211;512
85;47.294537;5.805837;231;243
86;48.907142;8.128678;311;324
87;47.617029;7.546518;211;411
88;47.1333;-1.6764;411;142
89;47.122;-1.656;231;311
90;44.784772;5.562013;324;321
91;46.435617;0.720528;322;311
92;48.944139;0.950127;242;211
94;47.013;5.442;311;324
95;47.592587;-2.899568;421;242
96;50.327;1.700935;411;211
97;50.327544;1.696643;411;211
98;51.073883;2.503798;322;331
99;48.683499;2.472607;324;313
100;47.227726;3.422964;231;NA
101;43.855;2.8;211;NA
102;45.77577778;-0.95452778;231;NA
104;46.011487;1.41896;412;311
105;46.456337;-1.632641;421;243
106;50.438709;1.58531;322;311
107;45.442341;3.925249;312;242
108;48.075811;6.520074;312;231
109;47.804514;-2.473233;324;242
110;48.900865;8.133915;324;131
111;50.285556;1.590278;231;211
112;44.904247;-0.594354;231;NA
114;45.380975;5.97463333;242;211
115;44.514166;-0.606164;324;411
116;46.637822;0.392429;242;NA
117;44.93;5.785278;321;121
118;43.3712;1.67186;311;211
119;49.45480833;0.21787222;322;421
120;43.452236;-1.305432;324;311
121;44.74456;-0.786398;243;211
122;45.28627778;-0.68827778;211;231
123;47.31446389;-2.44674444;242;422
124;46.352569;0.466806;311;211
125;47.183334;0.033333;242;311
126;48.377856;-0.271157;231;112
127;48.844387;2.36205;141;111
128;48.854173;1.937362;311;231
130;49.78775;1.47658;211;231
131;45.05738056;5.70033056;324;NA
132;50.440761;2.774272;132;211
133;50.414237;3.25825;411;243
134;48.419095;4.0492;211;NA
135;48.799763;8.049941;243;311
136;45.42291667;5.56;411;211
137;43.850429;5.522031;243;112
138;49.49861111;0.27666667;312;313
139;43.38244444;-1.75239444;231;423
140;48.700844;2.161296;112;NA
141;44.43597222;1.34543333;324;NA
142;49.96226523;2.11742525;411;211
143;50.432988;1.597563;311;112
144;46.554536;0.16272;411;311
145;49.419917;0.530972;311;512
146;43.001411;9.409356;323;242
147;48.42113333;2.72897778;311;112
148;48.4195;2.61;324;312
149;48.395305;2.57233;324;312
150;48.374831;2.573463;312;NA
151;50.21845;1.709444;411;242
154;48.71469444;1.82108333;211;NA
155;45.008156;4.899416;311;242
156;47.224008;3.450394;211;231
157;43.53546684;3.8421003;411;NA
158;48.92088611;2.73497222;231;512
159;45.79579167;4.88794167;141;231
160;45.125472;5.019778;231;211
161;48.443381;-4.559489;243;211
162;43.16382778;1.39765278;242;231
163;47.990825;-3.03340833;322;311
164;49.342092;2.57623;411;311
166;49.700617;-1.4133676;231;331
168;48.634285;-4.293625;231;421
169;49.572377;3.096557;231;NA
170;42.67611111;9.34666667;231;242
171;48.700844;2.161296;112;NA
172;43.36384722;2.46177778;243;311
173;43.607833;6.011028;312;313
174;45.820833;6.539444;231;313
175;49.626206;-1.843656;421;231
176;49.621554;-1.841887;421;231
177;49.2022517;-1.5007122;322;142
178;48.877432;-1.837093;322;423
179;47.302822;-1.405887;242;411
180;48.79698;7.89825;211;112
181;43.67412778;5.06434444;231;NA
184;44.05638;4.95888;242;NA
185;47.694335;-1.957962;411;242
187;48.33824;4.641315;311;512
188;44.09045278;0.19566944;243;312
189;48.15468889;-1.02205;231;211
190;48.15435;-1.30746944;231;211
191;48.957045;2.405877;142;324
192;48.958099;2.519823;141;NA
193;50.996701;2.030754;312;423
194;50.44281389;1.57837778;322;NA
195;50.541839;1.606663;322;331
196;46.434028;0.958458;311;322
197;47.57235833;-1.76666667;312;324
198;51.01340833;2.27248611;242;NA
199;50.3264;1.69716944;411;211
200;48.295455;2.606571;411;312
201;47.071111;3.429444;311;211
202;45.131123;-0.679423;411;522
203;47.59185;4.46081389;231;242
204;48.67386111;2.45136111;311;NA
205;48.484753;4.650017;512;411
208;45.007607;4.899114;311;511
209;46.134083;5.928151;411;211
210;43.94326;5.42235;323;NA
211;46.66632;0.501449;313;312
212;50.40818333;2.80289167;243;324
213;48.98865278;-0.16387778;211;NA
214;49.17403889;-0.36908333;142;121
215;50.64705556;2.58798889;311;211
216;48.452811;-3.7745226;311;322
217;50.59486944;1.58430556;322;333
218;50.34869444;1.58929167;512;211
219;44.609028;6.146694;321;242
220;44.214696;3.277295;321;312
221;50.268633;1.546139;333;312
222;48.147147;-4.270513;242;331
223;48.152988;-4.269648;421;211
224;48.079746;-4.062658;211;NA
225;49.46448889;1.39476667;231;NA
226;47.76265;-1.989574;312;324
227;48.772308;2.299032;141;NA
228;48.5975;5.357222;311;NA
229;48.558334;5.408889;311;NA
230;48.553055;5.295556;311;NA
231;48.50528;5.414166;211;312
232;48.474167;5.370555;311;NA
235;46.187532;-1.194563;421;112
236;47.68390278;-1.962075;411;211
238;46.710586;4.941981;231;243
239;47.97765556;3.69114444;512;211
240;48.39787;7.268198;311;321
241;50.574259;2.971725;311;211
242;47.483898;6.365113;242;NA
243;48.745648;-1.569665;322;311
244;45.884942;5.764612;321;313
245;47.753878;7.26843;231;112
246;43.85689167;5.228025;243;211
247;43.92105556;5.12368333;242;312
248;51.07002222;2.49908333;322;NA
249;48.596544;4.700697;411;311
250;48.938056;6.048611;512;NA
251;47.255833;-1.905028;411;231
252;47.26828333;-1.92981667;411;NA
253;43.9061;0.11616667;312;324
254;43.60361111;4.21;411;242
255;48.99916667;2.97930556;131;311
256;48.885333;7.905242;311;312
260;42.760663;0.054116;324;321
261;48.758503;-3.020274;311;242
262;45.82624;1.117944;311;231
263;51.02100556;2.27875556;242;121
264;44.973425;4.92756389;242;NA
265;50.97002778;1.92005556;324;311
266;48.69097222;-1.89125278;211;243
267;42.886803;-0.110609;311;112
268;42.978107;-0.621529;231;242
269;48.866302;1.895518;311;324
270;48.510278;5.310278;311;211
271;48.369444;6.14;311;231
272;43.60897778;2.93125278;324;312
275;44.64171111;-1.02998333;243;421
276;42.97671389;-0.86178333;321;311
277;43.98458611;-0.84429444;321;324
278;43.93103;5.71847;242;311
280;48.593889;-2.165833;231;211
281;43.657786;6.012055;323;311
282;42.4525;9.53305556;311;211
283;48.345747;2.785318;311;512
284;43.67805556;3.020975;243;311
285;50.780896;2.280625;242;411
286;44.72481389;0.538275;242;311
287;50.499213;2.84142;311;211
288;47.97913056;-2.94806944;311;211
290;44.41666667;1.33998611;311;NA
291;42.990715;-0.080896;311;231
292;49.9657;2.1167;311;512
293;48.335486;4.694444;211;NA
294;49.541873;4.760558;411;231
295;43.813385;1.440384;242;231
296;47.63021;-3.193207;322;321
297;47.047903;-1.993113;322;411
298;50.456556;2.978583;132;121
299;45.750722;5.431556;512;311
610;48.86222222;1.89527778;324;121
615;48.295455;2.606571;411;312
620;48.155031;-4.268226;421;211
621;49.357773;0.683135;231;211
622;48.292832;-0.103045;231;211
623;50.785522;2.282513;243;112
628;45.9001663;-0.736493;313;211
637;47.574023;-2.791187;322;423
639;48.731546;-3.15;243;211
640;47.69124722;-2.37870278;242;231
641;47.838879;-4.216655;211;242
642;43.685281;4.755663;324;211
643;48.781779;-3.55118;322;NA
649;47.97936944;-1.88548611;324;322
650;47.97821111;-1.88885;324;322
659;48.51963;5.391819;311;NA
660;47.13118889;0.191925;324;311
661;45.182298;2.883184;321;512
662;49.459829;0.426014;231;522
663;47.98855556;-2.38222222;112;NA
667;43.85283611;5.25275556;243;211
668;45.94808;-0.00671;231;211
670;43.58463;4.78082;321;311
672;45.769052;-0.952247;324;312
675;47.224008;3.450449;211;231
676;48.8196;-0.715;211;231
683;48.90714167;8.12867778;311;324
684;50.056538;1.40158;141;112
685;50.085596;1.418457;211;311
686;50.67447222;1.81630556;311;231
687;46.513989;6.104616;411;412
688;44.695385;-0.358007;221;311
693;45.29201944;5.90062778;211;NA
699;48.03276667;-1.01920833;231;211
700;49.66654;3.771588;411;NA
701;48.82888889;2.0925;142;242
703;44.62164444;6.12009722;324;231
704;44.60902778;6.14669444;321;242
705;44.54604167;6.26664167;211;112
706;44.03463889;6.13416389;211;331
716;46.05305556;-1.05888889;411;242
802;48.505215;6.112369;311;231
803;48.411507;6.065083;242;311
804;48.429697;6.819087;312;324
805;48.520393;6.595282;311;243
806;48.597797;5.777559;311;324
807;48.614318;5.963412;311;NA
808;49.478855;5.853825;311;211
809;49.485097;5.898989;311;211
810;48.719727;6.135668;311;NA
811;49.120037;5.784408;311;231
812;49.149332;5.866121;411;211
813;46.02799;2.63342;231;313
820;48.87416667;7.67138889;243;211
822;50.48583333;2.58805556;132;211
825;46.21405;1.429306;112;231
842;49.34436111;-0.53755556;411;331
843;44.92683333;1.07766667;231;311
844;44.67794444;-0.36422222;211;221
845;45.42986111;5.41125;411;242
848;48.736231;-3.146614;313;522
849;48.957283;2.518717;141;121
850;43.719705;7.028717;242;323
851;50.151522;1.479556;521;421
867;46.32055556;-0.85675;311;NA
869;42.579723;2.275763;321;NA
896;50.76463889;2.24833333;411;NA
897;46.94982222;-2.16263611;231;NA
898;47.685699;7.514986;311;511
902;45.0631408;2.0625109;311;231
907;45.94655556;5.03452778;512;211
910;45.904431;3.354049;311;NA
914;50.438237;2.91087;324;112
915;48.39416667;2.57333333;324;312
919;49.82583333;2.40861111;242;211
920;50.56025;1.592528;322;311
926;48.717523;1.963542;311;NA
930;48.246;-3.39375;324;211
941;44.681967;-1.03528;421;231
944;47.40998889;-1.60199167;242;NA
947;45.807989;5.752451;411;NA
948;43.68084432;3.720570611;323;112
951;47.941676;-2.238293;322;NA
953;47.6669;0.327191;311;231
954;46.676208;-1.372402;231;243
955;43.298413;-0.419208;311;324
956;48.891266;-0.03577;312;211
958;47.40998889;-1.60199167;242;NA
959;45.765143;0.945543;231;112
960;48.24472;-4.216042;242;231
971;45.361431;6.589589;312;321
972;48.607;0.31569444;231;NA
973;45.62828056;0.10473333;311;221
974;48.67411111;1.94043611;231;311
975;47.591964;-2.899089;242;421
983;47.668294;-0.422003;242;NA
992;47.8006;-4.2378;243;242
993;49.15;7.45;243;311
994;47.404241;-2.344852;411;242
995;47.675875;1.22197;211;NA
996;45.695522;5.546945;311;511
998;43.857811;5.217704;242;313
999;50.800598;1.611901;333;331
1003;47.253801;-1.638968;242;231
1004;50.77777778;2.72861111;211;243
1008;42.887;-0.42805556;311;312
1009;47.929577;0.335852;312;NA
1010;47.6965;-1.957603;411;242
1011;50.41280278;2.82665278;142;112
1012;44.99972222;4.88527778;242;511
1013;47.31735833;-2.01905278;231;NA
1014;45.776625;-0.954592;231;311
1023;46.015693;2.319543;231;312
1041;44.29155;5.590294;242;312
1042;44.124153;0.605536;311;211
1043;46.780158;1.188361;324;231
1044;46.237222;0.033333;243;211
1045;47.021735;0.788685;242;231
1046;47.306146;-2.441032;211;422
1047;45.8607;3.10691;322;311
1048;47.927221;-3.691036;242;112
1049;45.300111;-0.184722;231;312
1050;45.298222;-0.18125;231;312
1051;44.766806;4.758889;222;511
1054;47.010717;5.444914;324;311
1055;45.451104;4.266726;324;242
1056;48.465367;-0.159166;311;NA
1069;44.29155;5.590294;242;312
1070;48.154869;-4.263708;421;211
1071;45.178511;1.168637;311;242
1086;44.465556;0.766667;211;NA
1087;42.849264;2.955764;421;411
1100;47.883889;1.844444;211;511
1101;47.559479;-2.724537;421;242
1102;48.465918;-5.068327;243;322
1103;46.017745;2.316763;231;312
1104;42.6405;1.952;311;321
1108;44.644282;-1.033377;421;231
1109;44.774492;-1.167882;312;421
1110;46.011389;5.776111;231;311
1111;46.514422;1.112134;242;211
1112;48.694167;2.497222;141;112
1113;45.176732;5.591666;321;311
1114;44.26925;4.716778;311;511
1115;44.281194;4.731222;324;242
1116;43.7775923;5.1454955;323;NA
1117;42.599333;9.480722;231;521
1118;42.562028;9.513333;411;521
1151;48.560238;2.39052;411;NA
